OrdreID,"Booking ID",Annonse,Dato,Mva,"Pris ink. Mva",Hensikt,"Målgruppe rabatt",Opprettet,"Sist endret","Booking status","Betalings metode","Booking kommentar","Booking notater","Profile type","Org nummer","Kunde: Navn","Kunde: E-post","Kunde: Tlf","Kunde: Adresse","Kunde: Postnr","Kunde: By","Faktura: Navn","Faktura: E-post","Faktura: Tlf","Faktura: Adresse","Faktura: Postnr","Faktura: Navn","Annen informasjon"
20822,11055,"Sortlandshallen Sal 4","14 Jan 2024 16:00 - 14 Jan 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","21 Jan 2024 16:00 - 21 Jan 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","28 Jan 2024 16:00 - 28 Jan 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","04 Feb 2024 16:00 - 04 Feb 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","11 Feb 2024 16:00 - 11 Feb 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","18 Feb 2024 16:00 - 18 Feb 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","25 Feb 2024 16:00 - 25 Feb 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","03 Mar 2024 16:00 - 03 Mar 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","10 Mar 2024 16:00 - 10 Mar 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","17 Mar 2024 16:00 - 17 Mar 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
20822,11055,"Sortlandshallen Sal 4","24 Mar 2024 16:00 - 24 Mar 2024 20:00",,Gratis,,,"2024-01-02 10:48:52","2024-01-02 10:49:16",paid,,,"SHBK søndag",company,993764051,"Sortland håndballklubb",post@sortlandhandballklubb.no,"47 97740928",,,," ",,97740928,"Pb 537 ",8400,Sortland,
