Name,Listing,"Booking ID",Date,price,Status,"Discount group",created_at,"Last updated","Listing name","Sub listing name","Booking Message","Booking notes","Order number","Customer name","Customer email","Customer tlf","Customer address","Customer zip","Customer city","Biiling name","Biiling email","Biiling tlf","Biiling address","Biiling zip","Biiling city"
"Admin and Owner","Service - Instant booking + Coupons",841,"26 Jan 2022 00:00 - 26 Jan 2022 00:30",1543,paid,,"2022-01-26 12:12:50",,"Service - Instant booking + Coupons",," ",,8029,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Admin and Owner","AService weekly view - Non instant",842,"26 Jan 2022 17:30 - 27 Jan 2022 00:00",1543,paid,,"2022-01-26 12:22:00",,"AService weekly view - Non instant",," ",,8032,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Admin and Owner","Booking system - Rental",874,"04 Feb 2022 12:00 - 05 Feb 2022 12:00",63,paid,,"2022-01-31 14:37:43",,"Booking system - Rental",,,,8074,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Admin and Owner","Service - Instant booking + Coupons",875,"10 Feb 2022 13:00 - 10 Feb 2022 16:00",Free,paid,,"2022-02-01 13:02:43",,"Service - Instant booking + Coupons",,,,,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Admin and Owner","Booking system - Rental",876,"02 Feb 2022 11:30 - 03 Feb 2022 11:30",Free,paid,"Max discount","2022-02-01 13:04:21",,"Booking system - Rental",,,,,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Admin and Owner","Booking system - Rental",892,"03 Feb 2022 12:00 - 04 Feb 2022 12:00",63,paid,,"2022-02-03 15:30:51",,"Booking system - Rental",,,,,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Admin and Owner","Booking system - Rental",897,"05 Feb 2022 12:00 - 06 Feb 2022 12:00",1250,paid,,"2022-02-04 00:33:36",,"Booking system - Rental",,,,8079,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Admin and Owner","AService weekly view - Non instant",901,"04 Feb 2022 19:00 - 04 Feb 2022 22:00",Free,paid,,"2022-02-04 17:27:56",,"AService weekly view - Non instant",,,,,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Admin and Owner","AService weekly view - Non instant",902,"04 Feb 2022 22:00 - 04 Feb 2022 23:00",Free,paid,,"2022-02-04 17:30:35",,"AService weekly view - Non instant",,,,,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Admin and Owner",,915,"25 Feb 2022 12:00 - 26 Feb 2022 12:00",3601,paid,,"2022-02-08 22:45:52",,,,,,,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Abdi dev","Åsen selskapslokaler - sentral beliggenhet (demo)",920,"10 Feb 2022 00:30 - 10 Feb 2022 03:30",Free,paid,,"2022-02-10 17:07:55",,"Åsen selskapslokaler - sentral beliggenhet (demo)",,,,,"Abdi dev",Abdi@gibbs.no,00553412,,,," ",,00553412,"ascfdsad ",1125,sadsadsa
"Admin and Owner","Service - Instant booking + Coupons",933,"17 Feb 2022 13:00 - 17 Feb 2022 17:00",Free,paid,,"2022-02-15 13:21:24",,"Service - Instant booking + Coupons",,,,,"Admin and Owner",AdminAndOwner@gibbs.no,99999999,"Guslundskroken 28",1746,Skjeberg,"Abdi Gryga",kontakt@gibbs.no,99999999,"Hei ",9999,Råde
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
"Buyer Only",,952,"07 Mar 2022 12:00 - 15 Apr 2023 21:59",Free,paid,,"2022-02-18 17:22:02",,,,,,,"Buyer Only",buyerOnlytest@gibbs.no,41414143,,,,"Buyer Only",buyterOnlyTest@gibbs.no,41414143,"34243 ",2343,fedfd
